uid,card_number,PIN
1,1,234318910512
2,2,123312331233123312
10000,3333333333,232323232
17,10000017,4593799105799299710
18,10000018,4997910937925510
19,10000019,2599539473693958
20,10000020,2975574359376593538
21,10000021,23547779678
22,10000022,2799347596733378
23,10000023,2599359479565395738
24,10000024,2797934793797678
25,10000025,23759497935657693338938
26,10000026,167751870595377277972
27,10000027,27379545937736935938
28,10000028,29733754767978
29,10000029,2543365737938
30,10000030,25334955337698
33,10000033,295474
34,10000034,4
35,10000035,185353183353189953991895777318
36,10000036,09309539330
38,10000038,27339456
41,10000041,4
42,10000042,03309577097590
43,10000043,277599545375767955778
